in_640,in_488,major_length,minor_length,length_ratio,eccentricity,solidity,mean_intensity,max_intensity
True,False,13.989361631755408,8.806911005676673,1.588452705705071,0.7769652776648999,0.8703703703703703,2730.372340425532,4240.0
True,False,10.107043075020455,9.432475358610388,1.0715154484956206,0.35920765874582655,0.9259259259259259,2661.68,3834.0
True,False,10.441534419118726,9.457055431575805,1.1040999477717854,0.4238869548799581,1.0,3443.1666666666665,5194.0
True,False,16.56660699798792,13.152626086765261,1.2595664832335107,0.6080170718165678,0.9065934065934066,3527.4545454545455,5241.0
True,False,11.04888110355587,10.399632196201754,1.0624299864149944,0.3377426532345998,0.9183673469387755,3467.3444444444444,5301.0
True,False,10.340439756937815,9.191189928393738,1.1250381970394707,0.4581814009755755,1.0,2148.4533333333334,2852.0
False,True,7.9456428740224725,6.868723369350479,1.156785975383657,0.5026944826899832,0.9347826086956522,12221.953488372093,22663.0
False,True,6.984317738036661,4.736929990420638,1.474439718850913,0.7348554819308045,0.9615384615384616,7735.68,10727.0
False,True,8.742649982078742,7.393674141563164,1.1824499975063656,0.5336558797677028,1.0,16991.07843137255,36820.0
False,True,15.003339742214516,14.488290705074327,1.035549329956798,0.2597680520498135,0.9710982658959537,18013.755952380954,43969.0
False,True,7.27673661531859,6.823678055586897,1.0663950651506486,0.3473413250140663,0.9512195121951219,10876.461538461539,18496.0
False,True,7.39531035451614,7.082461340874292,1.0441723559286673,0.2877808244527181,0.8913043478260869,11193.90243902439,18044.0
False,True,7.625496572234495,6.61224636767566,1.1532384210575972,0.4980934074473946,0.975609756097561,9254.975,14768.0
False,True,7.392571411289448,5.7545281136978454,1.2846529293767706,0.6277433712160546,1.0,15187.0,29556.0
True,True,13.722536592019289,9.597650949291516,1.4297807505423457,0.7147227040394492,0.9357798165137615,2485.2156862745096,3799.0
True,True,13.831608357583173,11.321246394158814,1.221739008569073,0.5744988068470328,0.9682539682539683,2730.909836065574,3787.0
